NPI,Name,Entity_Type,City,State,ZIP,Phone,Authorized_Official,Total_Paid,Post_Exclusion_Paid,Post_Exclusion_Claims,Exclusion_Date,Action_Type,Risk_Level,Risk_Score,Fraud_Categories,Red_Flags
1487718938,"BASNETT, BETHANY",Individual,"HUNTERSVILLE",NC,28078,704-591-6934,"",491779.93,267748.10,6049,2022-10-15,DISQUALIFICATION,UNKNOWN,0,"POST-EXCLUSION BILLING (Federal crime); MAJOR POST-EXCLUSION ($100K+)","$$268K paid AFTER exclusion"
1194779371,"BABAYANTS, ALEXANDER",Individual,"LIVINGSTON",NJ,07039,973-218-1868,"",218929.72,206130.46,9774,2018-02-10,DEBARMENT,UNKNOWN,0,"POST-EXCLUSION BILLING (Federal crime); MAJOR POST-EXCLUSION ($100K+)","$$206K paid AFTER exclusion; 101 claims filed post-exclusion; Appears as both billing AND servicing provider"
1497857270,"ASHOKAN, ANNAMALAI",Individual,"MONTEREY",CA,93940,831-649-6135,"",146671.69,146671.69,2072,2004-05-01,DEBARMENT,UNKNOWN,0,"POST-EXCLUSION BILLING (Federal crime); MAJOR POST-EXCLUSION ($100K+)","$$147K paid AFTER exclusion"
1043435209,"BATES, NANCY M.",Individual,"NEWBURY PARK",CA,91320,805-279-1996,"",4616.32,4616.32,32,2001-04-03,DEBARMENT,UNKNOWN,0,"POST-EXCLUSION BILLING (Federal crime)","$$5K paid AFTER exclusion"
1952465569,"ALLIANCE MEDICAL GROUP, PC",Organization,"HACKETTSTOWN",NJ,07840,908-852-1887,"VINEET SANDHU",183310.59,1301.63,53,2022-03-20,DISQUALIFICATION,UNKNOWN,0,"POST-EXCLUSION BILLING (Federal crime)","$$1K paid AFTER exclusion; 3 billing spikes detected"
1073635421,"BELTZER, BLAIR",Individual,"WAYNE",NJ,07470,973-953-7668,"",152.02,152.02,105,2015-12-16,DEBARMENT,UNKNOWN,0,"POST-EXCLUSION BILLING (Federal crime)","$$152 paid AFTER exclusion"
1316370950,"ACADIAN DIAGNOSTIC",Organization,"BATON ROUGE",LA,70816,225-448-5886,"TERRY WILKS",6811930.26,0.00,0,2023-09-20,DISQUALIFICATION,UNKNOWN,0,"SUSPICIOUS BILLING PATTERN",""
1710931852,"AIMS DIAGNOSTIC",Organization,"ABSECON",NJ,08201,609-383-0500,"ROMESH RUTHNASWAMY",845759.43,0.00,0,2023-05-18,DISQUALIFICATION,UNKNOWN,0,"SUSPICIOUS BILLING PATTERN",""
1255656153,"ALCALA PHARMACEUTICAL, INC.",Organization,"SAN DIEGO",CA,92108,619-450-5870,"DAVID SMITH",359245.80,0.00,0,2023-08-04,DISQUALIFICATION,UNKNOWN,0,"SUSPICIOUS BILLING PATTERN","4 billing spikes detected; Appears as both billing AND servicing provider"
1972744431,"ALL AMERICAN MEDICAL SUPPLIES, INC.",Organization,"VENICE",FL,34285,941-882-5148,"STEVEN KING",335308.70,0.00,0,2024-03-20,DISQUALIFICATION,UNKNOWN,0,"SUSPICIOUS BILLING PATTERN",""
1083660179,"1450 ASSOCIATES, LLC dba CENTER FOR DIAGNOSTIC IMAGING",Organization,"VINELAND",NJ,08361,856-794-1700,"SATISH SHAH",138582.57,0.00,0,2024-02-01,DISQUALIFICATION,UNKNOWN,0,"SUSPICIOUS BILLING PATTERN",""
1306906854,"ASLAM, ZAHID",Individual,"ELKTON",MD,21921,410-398-0590,"",69439.67,0.00,0,2019-01-16,DISQUALIFICATION,UNKNOWN,0,"SUSPICIOUS BILLING PATTERN","Appears as both billing AND servicing provider"
1629179007,"BACHA, DAVID",Individual,"ENGLEWOOD CLIFFS",NJ,07632,201-569-4477,"",44782.38,0.00,0,2025-03-11,DISQUALIFICATION,UNKNOWN,0,"SUSPICIOUS BILLING PATTERN",""
1073935862,"ALL AMERICAN MEDICAL",Organization,"HOLLYWOOD",FL,33024,305-455-3862,"STEVEN KING",35470.82,0.00,0,2024-03-20,DISQUALIFICATION,UNKNOWN,0,"SUSPICIOUS BILLING PATTERN",""
1922116268,"AMIN, JASHVANT",Individual,"ORANGE",NJ,07050,973-672-0352,"",7140.06,0.00,0,2023-08-22,DISQUALIFICATION,UNKNOWN,0,"SUSPICIOUS BILLING PATTERN",""
1427048701,"BARTEK, MARY H.",Individual,"EASTON",PA,18045,610-252-2275,"",923.00,0.00,0,2023-08-20,DISQUALIFICATION,UNKNOWN,0,"SUSPICIOUS BILLING PATTERN",""
1700208592,"ALL AMERICAN MEDICAL",Organization,"RIEGELSVILLE",PA,18077,866-984-3048,"JAMES LETKO",851.91,0.00,0,2024-03-20,DISQUALIFICATION,UNKNOWN,0,"SUSPICIOUS BILLING PATTERN",""
1164410742,"AUFSEESER, LESLIE",Individual,"LAKEWOOD",NJ,08701,732-367-5151,"",477.00,0.00,0,2018-02-12,DEBARMENT,UNKNOWN,0,"SUSPICIOUS BILLING PATTERN",""
1447204615,"AHLAWAT, RANVIR",Individual,"BEACHWOOD",NJ,08722,732-693-2097,"",0.00,0.00,18,2016-12-19,DEBARMENT,UNKNOWN,0,"SUSPICIOUS BILLING PATTERN",""
1104253558,"CARE FINDERS TOTAL CARE LLC",Organization,"HACKENSACK",NJ,07601,201-342-5122,"GREGORY GEORGE",708682479.28,0.00,0,,,CRITICAL,85,"MEGA-BILLER ($100M+); SELF-REFERRAL SCHEME; STATISTICAL ANOMALY","Extreme Z-score: 31.3; 100% self-referral (100.0%); Single code dominates 97% of billing; 4 temporal anomalies; Benford deviation: 34.5; Completely isolated billing (no servicing network)"
1104176676,"ALLIES, INC.",Organization,"HAMILTON",NJ,08690,609-689-0136,"MICHAEL HAGGERTY",362479854.44,0.00,0,,,CRITICAL,85,"MEGA-BILLER ($100M+); SELF-REFERRAL SCHEME; STATISTICAL ANOMALY","Extreme Z-score: 16.0; 100% self-referral (100.0%); Single code dominates 95% of billing; 4 temporal anomalies; Benford deviation: 39.5; Completely isolated billing (no servicing network)"
1821456526,"COMMUNITY ACCESS UNLIMITED",Organization,"ELIZABETH",NJ,07202,908-354-3040,"SIDNEY BLANCHARD",355702412.85,0.00,0,,,CRITICAL,85,"MEGA-BILLER ($100M+); SELF-REFERRAL SCHEME; STATISTICAL ANOMALY","Extreme Z-score: 15.7; 100% self-referral (100.0%); Single code dominates 90% of billing; 5 temporal anomalies; Benford deviation: 32.7; Completely isolated billing (no servicing network)"
1194028969,"COMMUNITY OPTIONS, INC.",Organization,"PRINCETON",NJ,08540,973-390-0357,"DAVID SWEENEY",337944535.20,0.00,0,,,CRITICAL,80,"MEGA-BILLER ($100M+); SELF-REFERRAL SCHEME; STATISTICAL ANOMALY","Extreme Z-score: 14.9; 100% self-referral (100.0%); Single code dominates 99% of billing; Billing trend is increasing; Benford deviation: 78.1; Completely isolated billing (no servicing network)"
1265802847,"CARINGHOUSE PROJECTS",Organization,"ATLANTIC CITY",NJ,08401,609-484-7050,"TOM THOMPSON",280807223.90,0.00,0,,,CRITICAL,80,"MEGA-BILLER ($100M+); SELF-REFERRAL SCHEME; STATISTICAL ANOMALY","Extreme Z-score: 12.3; 100% self-referral (100.0%); Single code dominates 95% of billing; Billing trend is increasing; Benford deviation: 95.1; Completely isolated billing (no servicing network)"
1326168840,"DEPARTMENT OF HEALTH AND SENIOR SERVICES",Organization,"TRENTON",NJ,08625,609-777-7734,"TERRY HARRISON",1073667311.34,0.00,0,,,CRITICAL,75,"MEGA-BILLER ($100M+); SELF-REFERRAL SCHEME; STATISTICAL ANOMALY","Extreme Z-score: 47.4; 100% self-referral (100.0%); Single code dominates 87% of billing; Benford deviation: 56.8; Completely isolated billing (no servicing network)"
1295261683,"THE DEVEREUX FOUNDATION",Organization,"CHERRY HILL",NJ,08003,856-599-6400,"CAROLE CIRUCCI",401151949.83,0.00,0,,,CRITICAL,75,"MEGA-BILLER ($100M+); SELF-REFERRAL SCHEME; STATISTICAL ANOMALY","Extreme Z-score: 17.7; 100% self-referral (100.0%); Single code dominates 86% of billing; Benford deviation: 28.5; Completely isolated billing (no servicing network)"
1265819106,"REM NEW JERSEY, INC.",Organization,"SOMERSET",NJ,08873,732-627-9890,"STEVEN BAYER",217946860.06,0.00,0,,,CRITICAL,75,"MEGA-BILLER ($100M+); SELF-REFERRAL SCHEME; STATISTICAL ANOMALY","High Z-score: 9.6; 100% self-referral (100.0%); Single code dominates 90% of billing; 4 temporal anomalies; Benford deviation: 86.1; Completely isolated billing (no servicing network)"
1265848675,"ELWYN NEW JERSEY",Organization,"VINELAND",NJ,08360,856-794-5300,"BETH CARACCIO",206621411.68,0.00,0,,,CRITICAL,75,"MEGA-BILLER ($100M+); SELF-REFERRAL SCHEME; STATISTICAL ANOMALY","High Z-score: 9.1; 100% self-referral (100.0%); Single code dominates 88% of billing; 4 temporal anomalies; Benford deviation: 83.2; Completely isolated billing (no servicing network)"
1720121106,"BANCROFT, A NEW JERSEY NONPROFIT CORPORATION",Organization,"CHERRY HILL",NJ,08033,856-348-1137,"JENNIFER CRIPPS",560383490.86,0.00,0,,,CRITICAL,68,"MEGA-BILLER ($100M+); SELF-REFERRAL SCHEME; STATISTICAL ANOMALY","Extreme Z-score: 24.7; 100% self-referral (98.1%); Top code = 74% of billing; Billing trend is increasing; Benford deviation: 21.0"
1538371778,"WHITE GLOVE COMMUNITY CARE, INC.",Organization,"BRICK",NJ,08724,844-828-2666,"BLIMA BECK",540711656.62,0.00,0,,,CRITICAL,68,"MEGA-BILLER ($100M+); SELF-REFERRAL SCHEME; STATISTICAL ANOMALY","Extreme Z-score: 23.8; 100% self-referral (100.0%); Top code = 71% of billing; Benford deviation: 24.8; Completely isolated billing (no servicing network)"
1073854451,"NEW JERSEY DIVISION OF DEVELOPMENTAL DISABILITIES",Organization,"TRENTON",NJ,08625,,"MARIBETH ROBENOLT",333873624.61,0.00,0,,,CRITICAL,68,"MEGA-BILLER ($100M+); SELF-REFERRAL SCHEME","Extreme Z-score: 14.7; 100% self-referral (100.0%); Top code = 64% of billing; 6 temporal anomalies; Completely isolated billing (no servicing network)"
1134277494,"BIOREFERENCE HEALTH, LLC",Organization,"ELMWOOD PARK",NJ,07407,201-791-2600,"MICHAEL SCHMID",620067105.66,0.00,0,,,CRITICAL,65,"MEGA-BILLER ($100M+); SELF-REFERRAL SCHEME; STATISTICAL ANOMALY","Extreme Z-score: 27.3; 100% self-referral (99.6%); 4 temporal anomalies; Benford deviation: 26.5"
1215027966,"NEWARK BETH ISRAEL MEDICAL CENTER INC",Organization,"NEWARK",NJ,07112,732-923-5000,"DARRELL TERRY",380157757.56,0.00,0,,,CRITICAL,65,"MEGA-BILLER ($100M+); SELF-REFERRAL SCHEME; STATISTICAL ANOMALY","Extreme Z-score: 16.7; 100% self-referral (99.9%); 4 temporal anomalies; Benford deviation: 37.4"
1215998323,"UNIVERSITY HOSPITAL",Organization,"NEWARK",NJ,07103,973-972-4300,"JOHN HUCK",362912756.86,0.00,0,,,CRITICAL,65,"MEGA-BILLER ($100M+); SELF-REFERRAL SCHEME; STATISTICAL ANOMALY","Extreme Z-score: 16.0; 100% self-referral (100.0%); 4 temporal anomalies; Benford deviation: 42.9"
1568442309,"THE COOPER HEALTH SYSTEM",Organization,"CAMDEN",NJ,08103,856-382-6503,"BRIAN REILLY",354034396.34,0.00,0,,,CRITICAL,65,"MEGA-BILLER ($100M+); SELF-REFERRAL SCHEME; STATISTICAL ANOMALY","Extreme Z-score: 15.6; 100% self-referral (100.0%); 4 temporal anomalies; Benford deviation: 39.8"
1689744856,"JERSEY CITY MEDICAL CENTER",Organization,"JERSEY CITY",NJ,07302,201-770-3712,"JONATHAN KYRIACOU",336381755.53,0.00,0,,,CRITICAL,65,"MEGA-BILLER ($100M+); SELF-REFERRAL SCHEME; STATISTICAL ANOMALY","Extreme Z-score: 14.8; 100% self-referral (100.0%); 4 temporal anomalies; Benford deviation: 37.0"
1669462420,"ST JOSEPHS UNIVERSITY MEDICAL CENTER INC.",Organization,"PATERSON",NJ,07503,973-754-2000,"CHRISTOPHER CAULFIELD",322401873.40,0.00,0,,,CRITICAL,65,"MEGA-BILLER ($100M+); SELF-REFERRAL SCHEME; STATISTICAL ANOMALY","Extreme Z-score: 14.2; 100% self-referral (100.0%); 5 temporal anomalies; Benford deviation: 24.3"
1932145778,"QUEST DIAGNOSTICS INCORPORATED",Organization,"CLIFTON",NJ,07012,862-349-2010,"LEAH TIMMERMAN",637741416.64,0.00,0,,,CRITICAL,60,"MEGA-BILLER ($100M+); STATISTICAL ANOMALY","Extreme Z-score: 28.1; High self-referral: 94.8%; 4 temporal anomalies; Benford deviation: 41.6"
1003847807,"BAYADA HOME HEALTH CARE, INC.",Organization,"TOMS RIVER",NJ,08753,732-818-9898,"DAVID BAIADA",269654252.43,0.00,0,,,CRITICAL,60,"MEGA-BILLER ($100M+); SELF-REFERRAL SCHEME; STATISTICAL ANOMALY","Extreme Z-score: 11.8; 100% self-referral (100.0%); Benford deviation: 37.1; Completely isolated billing (no servicing network)"
1457456279,"HMH HOSPITALS CORPORATION",Organization,"HACKENSACK",NJ,07601,201-996-5611,"IHOR SAWCZUK",333032793.87,0.00,0,,,CRITICAL,55,"MEGA-BILLER ($100M+); SELF-REFERRAL SCHEME; STATISTICAL ANOMALY","Extreme Z-score: 14.7; 100% self-referral (100.0%); Benford deviation: 38.3"
